city,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,pressure,wind_speed,timestamp,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6,aqi_rolling_mean_24,aqi_change_rate,target_aqi_72h,weather
Lahore,159,121.64271021531484,95.30063182315844,14.880938026757448,24.06633718000161,28.429487862818736,2.934139159792844,22.250960867661345,65.12820174137335,991.5960344747276,10.806935166757976,2026-05-09 07:15:26.999717,7.0,9.0,5.0,5.0,1.0,,,,,,,,,149.0,
Lahore,155,125.23252389216002,92.46367617094528,54.889790319601296,69.65630643801735,7.314141993163714,3.081499688970544,26.647953999084205,86.0673412057669,997.245886559491,9.361606190341105,2026-05-09 08:15:26.999717,8.0,9.0,5.0,5.0,1.0,159.0,,,,,,,-4.0,189.0,
Lahore,178,144.89110874248394,112.90141448208858,27.494773182369933,72.00825990321988,8.44550643890493,4.613939553563654,25.22628910789819,50.74956982714075,997.6595723456426,9.435805736391146,2026-05-09 09:15:26.999717,9.0,9.0,5.0,5.0,1.0,155.0,,,,,,,23.0,113.0,
Lahore,202,167.30074519260634,115.81660436264492,37.56586953314071,19.561452246391177,3.925775261069909,2.777024006451219,32.10014170974991,70.62869623974979,994.0226320990876,1.9191484629160709,2026-05-09 10:15:26.999717,10.0,9.0,5.0,5.0,1.0,178.0,159.0,,,,,,24.0,188.0,
Lahore,171,144.70270343284187,98.787403804267,27.977157226000173,14.784172741354544,18.561537942923977,2.9466563884021286,36.955082426662784,42.28150047730743,1002.7046220821718,4.301393365602763,2026-05-09 11:15:26.999717,11.0,9.0,5.0,5.0,1.0,202.0,155.0,,,,,,-31.0,178.0,
Lahore,174,134.12452904086066,109.58151446036238,16.290116817302565,78.1703726441834,20.71631334446808,2.622437605977749,23.0213936360555,67.10041903679647,990.2925656702724,2.798458999802829,2026-05-09 12:15:26.999717,12.0,9.0,5.0,5.0,1.0,171.0,178.0,,,173.16666666666666,16.678329252855832,,3.0,173.0,
Lahore,211,164.74571244394832,123.62232532408068,39.4665822473864,70.12429727377759,19.64500503666204,1.7100693705266663,20.770471126194472,37.77514380059907,997.5243878852602,3.7909833894676312,2026-05-09 13:15:26.999717,13.0,9.0,5.0,5.0,1.0,174.0,202.0,159.0,,181.8333333333333,20.836666400042656,,37.0,181.0,
Lahore,193,148.11211070542691,120.30266538665796,36.25704258848148,71.992711040746,25.972777048298656,0.7521310996201116,33.00617231349924,30.124838350577143,1013.3407361008266,6.954472121924704,2026-05-09 14:15:26.999717,14.0,9.0,5.0,5.0,1.0,211.0,171.0,155.0,,188.16666666666663,16.339114623095902,,-18.0,138.0,
Lahore,165,130.8299007044651,107.49717991504356,20.14967795955986,71.47822884682964,15.10634921575608,2.3389595699442625,33.098641777431105,85.89190808457474,997.7632392335502,4.377405760442975,2026-05-09 15:15:26.999717,15.0,9.0,5.0,5.0,1.0,193.0,174.0,178.0,,186.0,18.654758106177624,,-28.0,170.0,
Lahore,179,145.53179187223168,105.39102486529184,32.59345223261389,45.62651180252963,4.899254182244869,0.7366616205830534,39.33054346072664,63.29366257051256,999.0114846776688,6.728373809571193,2026-05-09 16:15:26.999717,16.0,9.0,5.0,5.0,1.0,165.0,211.0,202.0,,182.16666666666663,16.99901957957183,,14.0,176.0,
Lahore,152,126.53667258294551,94.60681163287651,49.847375200782295,53.48013024993498,9.392748790427968,2.97721611259663,15.430533534239393,85.61643976692237,1001.8291262058518,5.262014979294925,2026-05-09 17:15:26.999717,17.0,9.0,5.0,5.0,1.0,179.0,193.0,171.0,,179.0,20.83266665599966,,-27.0,191.0,
Lahore,144,114.8202448817874,80.6315385933007,39.52130515539457,45.90221391002312,20.210469229219203,1.8828213945903192,38.03209787714577,50.02989142212432,1004.0423343712868,3.439386701396732,2026-05-09 18:15:26.999717,18.0,9.0,5.0,5.0,1.0,152.0,165.0,174.0,,174.0,25.377155080899048,,-8.0,143.0,
Lahore,150,118.40076238372578,93.77366649033904,14.84586635334974,8.84047618927468,18.78053723850524,2.9012108068644253,29.06705866960564,49.66716414970541,1010.2177161205186,1.1448412104619037,2026-05-09 19:15:26.999717,19.0,9.0,5.0,5.0,1.0,144.0,179.0,211.0,,163.83333333333334,19.00964667390395,,6.0,129.0,
Lahore,99,79.95878996124371,60.39711992993384,37.40107486145675,60.91273140145795,16.39909076254591,1.10433633977834,31.77515640764667,54.0393001063819,994.7580305789004,10.702061488137392,2026-05-09 20:15:26.999717,20.0,9.0,5.0,5.0,1.0,150.0,152.0,193.0,,148.16666666666666,27.154496251388416,,-51.0,128.0,
Lahore,96,72.62428549184989,59.96519141080107,45.13691496447935,42.89990250019102,20.805968141971928,4.696834845827119,17.4670288951582,72.3624590374901,1011.793659429814,0.136480392055784,2026-05-09 21:15:26.999717,21.0,9.0,5.0,5.0,1.0,99.0,144.0,165.0,,136.66666666666666,32.65373893854526,,-3.0,149.0,
Lahore,114,101.64769360847389,65.17213963982302,49.63517028903757,53.57818060926724,19.48433466082568,4.525345595974707,26.68060318754523,63.94851805117045,1008.9387339285972,0.0198298577036539,2026-05-09 22:15:26.999717,22.0,9.0,5.0,5.0,1.0,96.0,150.0,179.0,,125.83333333333331,25.87985059204684,,18.0,132.0,
Lahore,101,72.76169486440972,52.29458292216413,41.45587893171334,42.697985373165146,26.5584217944836,1.3549842914102803,21.13716499544014,85.52129442594708,1008.0662583665388,9.921572877162552,2026-05-09 23:15:26.999717,23.0,9.0,5.0,5.0,1.0,114.0,99.0,152.0,,117.33333333333331,23.863500721115223,,-13.0,111.0,
Lahore,126,101.72370289447863,78.11626032374753,17.632908227039188,41.8858491741842,17.9944749468706,2.0454992748230447,21.864075812227743,31.52645406794636,992.170114342866,11.96173128390948,2026-05-10 00:15:26.999717,0.0,10.0,5.0,6.0,1.0,101.0,96.0,144.0,,114.33333333333331,20.77177572251989,,25.0,130.0,
Lahore,102,91.7180310961482,50.88298423760273,45.50866332950803,17.88418321083251,23.579439402316137,3.260717473333908,28.61056809625274,72.49175627835218,990.5410172493646,8.725233932563874,2026-05-10 01:15:26.999717,1.0,10.0,5.0,6.0,1.0,126.0,114.0,150.0,,106.33333333333331,11.430952132988168,,-24.0,122.0,
Lahore,95,76.03399922279999,55.41324753878733,43.86709230407582,25.90352863558617,8.212507523027568,0.9305879328765784,36.93631066088403,49.819661361993255,1004.850317522702,0.1832860567546168,2026-05-10 02:15:26.999717,2.0,10.0,5.0,6.0,1.0,102.0,101.0,99.0,,105.66666666666669,12.044362443345298,,-7.0,142.0,
Lahore,157,124.64980482499254,98.90590933209984,11.221344147031662,16.913951895796686,20.667294953082973,2.095555195022679,35.08208511391112,40.81401910910767,1011.578349063079,2.72028272002216,2026-05-10 03:15:26.999717,3.0,10.0,5.0,6.0,1.0,95.0,126.0,96.0,,115.83333333333331,23.007969633730543,,62.0,114.0,
Lahore,129,101.41277288594787,78.35948867936517,30.58738337951216,19.674972171900684,27.1636294330976,1.6300052906855274,30.95699889532075,60.62373735120594,1004.611036603516,11.661872403143535,2026-05-10 04:15:26.999717,4.0,10.0,5.0,6.0,1.0,157.0,102.0,114.0,,118.33333333333331,23.57682477914842,,-28.0,127.0,
Lahore,143,113.49804159118796,95.54171322394906,26.647512348118664,77.97330353152287,12.186237509095164,4.619825279225135,29.56429120434361,60.30382705079976,995.3308716361382,9.70325102608602,2026-05-10 05:15:26.999717,5.0,10.0,5.0,6.0,1.0,129.0,95.0,101.0,,125.33333333333331,23.63613053498112,,14.0,134.0,
Lahore,121,103.66424237338266,77.72554576290887,43.47060321268217,16.48350843291488,23.59402143282076,4.336297863301423,26.53726316733123,38.2206617213057,992.2629974487304,6.8015981256565325,2026-05-10 06:15:26.999717,6.0,10.0,5.0,6.0,1.0,143.0,157.0,126.0,,124.5,23.695991222145576,146.5,-22.0,120.0,
Lahore,139,100.14069044335248,80.13050805837211,20.806790615546035,25.19528182289057,22.018889734667628,3.109247335700887,41.26316928615744,42.11376336797339,1007.4899113204434,2.842328513284308,2026-05-10 07:15:26.999717,7.0,10.0,5.0,6.0,1.0,121.0,129.0,102.0,159.0,130.66666666666666,21.36976056643282,145.66666666666666,18.0,155.0,
Lahore,160,135.66716850648163,96.1365668992572,39.54359614871292,49.294224330393874,2.726259709282852,2.841558515922084,30.12519896432429,54.48987989409329,1008.0442569329452,0.1724424711209877,2026-05-10 08:15:26.999717,8.0,10.0,5.0,6.0,1.0,139.0,143.0,95.0,155.0,141.5,15.280706789936172,145.875,21.0,163.0,
Lahore,142,106.48021423774928,84.96314648727783,55.660298090708615,50.76339321774814,17.863740979098097,4.688266075454287,21.85709275443,54.52868474353892,994.3132925171776,0.2503376716489081,2026-05-10 09:15:26.999717,9.0,10.0,5.0,6.0,1.0,160.0,121.0,157.0,178.0,139.0,13.341664064126382,144.375,-18.0,165.0,
Lahore,179,141.86673835382794,99.48911618326936,49.89011861043039,16.54805973078718,4.775491126823269,4.695925023404669,21.212451385081067,49.05348837718108,990.7047578874134,7.343770362362719,2026-05-10 10:15:26.999717,10.0,10.0,5.0,6.0,1.0,142.0,139.0,129.0,202.0,147.33333333333334,19.86621923433516,143.41666666666666,37.0,167.0,
Lahore,164,129.0537778985067,93.69800541757824,56.07288681082652,64.52880693389093,29.052255994687144,4.861985564082472,31.50653183092883,38.91270909059885,1000.20708783058,0.2619825162290774,2026-05-10 11:15:26.999717,11.0,10.0,5.0,6.0,1.0,179.0,160.0,143.0,171.0,150.83333333333334,20.778995805059218,143.125,-15.0,148.0,
Lahore,173,141.34276634885362,100.9961954651007,58.9252983466345,63.89021509346188,24.53081757831903,1.0642049784868444,29.11634323739508,30.262420746058773,1004.5679675533256,11.923561703104472,2026-05-10 12:15:26.999717,12.0,10.0,5.0,6.0,1.0,164.0,142.0,121.0,174.0,159.5,16.183324751113478,143.08333333333334,9.0,170.0,
